simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,run_dir
1,20,96,18,ok,0,838,3.2734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_18
1,20,96,19,ok,0,854,3.3359375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_96/seed_19
1,20,128,10,ok,0,1021,3.98828125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_10
1,20,128,11,ok,0,1039,4.05859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_11
1,20,128,12,ok,0,1012,3.953125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_12
1,20,128,13,ok,0,1007,3.93359375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_13
1,20,128,14,ok,0,999,3.90234375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_14
1,20,128,15,ok,0,1006,3.9296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_15
1,20,128,16,ok,0,1030,4.0234375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_16
1,20,128,17,ok,0,986,3.8515625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_17
1,20,128,18,ok,0,1025,4.00390625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_18
1,20,128,19,ok,0,997,3.89453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_128/seed_19
1,20,160,10,ok,0,1191,4.65234375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_160/seed_10
1,20,160,11,ok,0,1204,4.703125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_160/seed_11
1,20,160,12,ok,0,1178,4.6015625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_160/seed_12
1,20,160,13,ok,0,1140,4.453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_20/agents_160/seed_13
